"Season","TeamName","Off_1","RankOff_1","Off_2","RankOff_2","Off_3","RankOff_3","Def_1","RankDef_1","Def_2","RankDef_2","Def_3","RankDef_3"
2019,"Abilene Christian",19.1746031746032,159,51.6825396825397,109,29.1428571428571,245,24.0358126721763,14,51.3774104683196,96,24.5867768595041,344
2019,"Air Force",15.9734779987945,301,53.2851115129596,69,30.7414104882459,213,15.8365976496922,314,46.894236149972,266,37.2691662003358,35
2019,"Akron",17.6541717049577,241,44.6191051995163,309,37.726723095526,48,17.4967234600262,248,52.0314547837484,80,30.4718217562254,221
2019,"Alabama",20.8137715179969,84,50.3912363067293,132,28.7949921752739,256,18.1043663471778,218,54.7390841320554,23,27.1565495207668,313
2019,"Alabama A&M",14.8471615720524,327,55.3961322520274,26,29.7567061759202,235,18.3641160949868,192,49.4986807387863,176,32.1372031662269,159
2019,"Alabama St.",19.0994916485113,164,46.9135802469136,251,33.9869281045752,115,18.9598420013167,158,50.4279131007242,141,30.6122448979592,213
2019,"Albany",20.150987224158,107,40.9988385598142,346,38.8501742160279,32,16.6391184573003,290,50.137741046832,150,33.2231404958678,130
2019,"Alcorn St.",17.4959871589085,246,51.2038523274478,115,31.3001605136437,193,18.3498349834984,193,53.7293729372937,37,27.9207920792079,297
2019,"American",19.9893390191898,117,54.5842217484009,36,25.4264392324094,321,20.6340378197998,72,57.5083426028921,6,21.8576195773081,353
2019,"Appalachian St.",20.0560224089636,110,46.8347338935574,255,33.109243697479,137,18.9941144997325,152,52.7554842161584,61,28.2504012841091,288
2019,"Arizona",19.5997947665469,136,49.153412006157,185,31.246793227296,195,18.5883620689655,178,52.1551724137931,77,29.2564655172414,268
2019,"Arizona St.",21.9264278799613,35,49.757986447241,160,28.3155856727977,268,22.4137931034483,34,42.3197492163009,343,35.2664576802508,76
2019,"Arkansas",20.6164729661445,89,50.1263264274886,145,29.2572006063669,243,22.3153483499214,37,43.268727082242,335,34.4159245678366,97
2019,"Arkansas Pine Bluff",23.885155772755,6,47.52596212584,232,28.588882101405,258,21.9379422972237,45,50.6260206859009,128,27.4360370168753,309
2019,"Arkansas St.",23.1470923603193,13,47.0923603192702,244,29.7605473204105,234,25.2631578947368,3,46.6315789473684,276,28.1052631578947,294
2019,"Army",14.1504471330878,339,49.2372435560231,181,36.612309310889,66,14.4298688193744,343,51.3622603430878,99,34.2078708375378,102
2019,"Auburn",16.798810703667,274,41.1298315163528,344,42.0713577799802,7,21.4579659024103,55,43.2686654908877,336,35.2733686067019,75
2019,"Austin Peay",19.3220338983051,150,52.4939467312349,81,28.18401937046,275,18.6485070717653,175,52.5929806181247,63,28.75851231011,276
2019,"BYU",20.9935205183585,70,51.9222462203024,98,27.0842332613391,297,20.0366804218249,98,48.3264557542412,219,31.636863823934,178
2019,"Ball St.",20.929018789144,74,53.5490605427975,60,25.5219206680585,319,18.75,171,51.9736842105263,81,29.2763157894737,267
2019,"Baylor",16.6577396893412,281,50.2410283877879,138,33.1012319228709,138,20.4358068315665,82,48.2921083627797,223,31.2720848056537,190
2019,"Belmont",15.796766743649,313,49.1454965357968,186,35.0577367205543,91,17.0021186440678,270,51.6949152542373,88,31.3029661016949,189
2019,"Bethune Cookman",19.1986644407346,156,54.0901502504174,43,26.7111853088481,304,21.4938205265986,54,49.9731327243418,157,28.5330467490596,280
2019,"Binghamton",14.2857142857143,336,51.5837104072398,110,34.1305753070459,112,13.3668903803132,352,49.2170022371365,187,37.4161073825503,31
2019,"Boise St.",18.4166198764739,203,50.4211117349804,128,31.1622683885458,200,19.906048150323,100,48.3852025836759,217,31.7087492660012,175
2019,"Boston College",20.2995008319468,100,49.5840266222962,169,30.1164725457571,227,19.0265486725664,147,47.1238938053097,260,33.8495575221239,115
2019,"Boston University",13.3263925039042,348,58.0947423217074,4,28.5788651743883,260,18.1632653061224,208,51.2244897959184,103,30.6122448979592,213
2019,"Bowling Green",18.626929217669,190,49.6008515167642,168,31.7722192655668,176,19.2931633835458,130,43.6848203939745,327,37.0220162224797,40
2019,"Bradley",19.8791872597474,127,48.9840746842394,192,31.1367380560132,202,22.1175166297118,43,46.119733924612,284,31.7627494456763,170
2019,"Brown",19.9117832388154,121,48.1411468178954,210,31.9470699432892,172,19.2257217847769,136,50.6561679790026,127,30.1181102362205,237
2019,"Bryant",21.8974076116933,36,45.3392167677882,294,32.7633756205185,147,19.7148475909538,105,46.8043264503441,269,33.4808259587021,125
2019,"Bucknell",19.8827552515877,125,45.2369320957499,298,34.8803126526624,95,18.7594553706505,170,53.5552193645991,39,27.6853252647504,304
2019,"Buffalo",17.1095571095571,258,47.9254079254079,221,34.965034965035,92,19.2670738478623,133,52.082176568573,78,28.6507495835647,279
2019,"Butler",15.0075795856493,323,47.7008590197069,228,37.2915613946438,53,19.3085106382979,128,48.2978723404255,222,32.3936170212766,153
2019,"Cal Baptist",19.1713048855906,161,46.134817563389,276,34.6938775510204,102,23.6352357320099,19,51.6129032258064,90,24.7518610421836,342
2019,"Cal Poly",12.9898403483309,352,50.2177068214804,140,36.7924528301887,62,19.4496560350219,119,50.9068167604753,118,29.6435272045028,252
2019,"Cal St. Bakersfield",17.4098961514966,248,54.0012217470983,46,28.588882101405,258,27.475845410628,1,41.9082125603865,345,30.6159420289855,212
2019,"Cal St. Fullerton",21,69,56.2352941176471,19,22.7647058823529,343,19.4186046511628,121,54.0697674418605,31,26.5116279069767,322
2019,"Cal St. Northridge",16.3819095477387,287,56.78391959799,15,26.8341708542714,302,18.3037853378055,198,48.203162434116,225,33.4930522280786,124
