,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
33,Bryant,30,10,20,.333,-14.93,-7.39,7,11,8,6,2,13,2088,2314,,69.2,100.6,.368,.421,.529,47.3,45.0,7.6,7.5,.490,16.3,26.7,.262
34,Bucknell,33,21,12,.636,0.82,-2.69,13,5,12,3,7,8,2534,2418,,71.4,107.2,.339,.459,.566,49.8,59.9,7.3,8.9,.530,15.5,25.5,.254
35,Buffalo,33,30,3,.909,15.95,2.13,16,2,14,0,12,3,2801,2325,,74.8,113.1,.322,.431,.560,52.9,55.6,9.8,10.5,.535,13.6,32.2,.222
36,Butler,32,16,16,.500,9.84,8.56,7,11,12,4,2,9,2298,2257,,67.2,106.0,.251,.426,.547,48.5,50.1,8.7,5.8,.519,14.3,25.6,.185
37,Cal Poly,29,6,23,.207,-13.63,-3.23,2,14,4,8,1,14,1930,2183,,66.8,97.5,.264,.401,.500,46.8,42.6,7.4,8.9,.477,14.8,26.1,.171
38,Cal State Bakersfield,31,16,15,.516,-4.61,-2.00,7,9,9,4,5,9,2211,2207,,67.5,104.4,.298,.336,.511,53.5,44.3,9.7,10.7,.484,15.9,38.1,.199
39,Cal State Fullerton,32,16,16,.500,-2.06,-0.96,10,6,9,3,4,11,2315,2256,,70.6,100.5,.380,.303,.542,50.5,47.3,8.2,8.8,.507,16.6,23.8,.265
40,Cal State Northridge,33,13,20,.394,-6.33,-3.33,7,9,7,9,4,10,2517,2609,,71.8,105.0,.324,.307,.538,48.1,52.5,8.7,11.4,.518,14.7,27.7,.206
41,California Baptist,30,16,14,.533,-3.74,-4.01,7,9,8,6,8,6,2348,2185,,70.3,109.5,.307,.430,.565,52.0,41.5,6.8,7.0,.527,14.9,28.3,.240
42,UC-Davis,31,11,20,.355,-5.90,-1.14,7,9,7,6,3,12,2038,2128,,67.0,96.5,.308,.370,.531,46.5,51.0,9.3,7.0,.500,17.7,21.5,.218
43,UC-Irvine,34,29,5,.853,5.37,-2.91,15,1,12,2,13,2,2459,2152,,66.4,107.3,.295,.323,.538,55.1,49.2,8.4,11.3,.512,15.0,34.2,.204
44,UC-Riverside,33,10,23,.303,-10.83,-2.89,4,12,7,7,2,14,2153,2279,,64.4,100.9,.236,.415,.542,50.5,53.7,7.7,5.4,.522,17.6,26.6,.161
45,UC-Santa Barbara,32,22,10,.688,-1.32,-5.25,10,6,12,3,7,6,2350,2114,,66.0,110.4,.381,.327,.547,54.8,52.2,7.5,9.2,.510,14.2,34.8,.273
46,University of California,31,8,23,.258,-3.01,5.57,3,15,7,9,1,10,2121,2387,,68.5,99.5,.348,.341,.525,44.6,45.3,10.7,9.9,.486,14.8,23.3,.251
47,Campbell,32,20,12,.625,-3.45,-4.76,12,4,12,4,5,7,2426,2244,,67.9,111.3,.315,.484,.573,48.0,55.8,9.6,10.1,.539,13.3,24.0,.238
48,Canisius,32,15,17,.469,-8.55,-4.61,11,7,5,8,9,5,2250,2376,,68.5,101.4,.314,.431,.534,47.3,58.4,9.2,9.7,.505,16.4,27.1,.217
49,Central Arkansas,33,14,19,.424,-10.98,-4.42,8,10,8,5,5,13,2383,2498,,72.0,99.5,.350,.412,.537,48.2,57.2,8.4,10.1,.498,17.7,25.1,.256
50,Central Connecticut State,31,11,20,.355,-13.74,-6.43,5,13,5,7,5,12,2205,2367,,70.4,99.4,.348,.336,.520,50.1,46.8,7.8,10.9,.469,16.8,29.9,.272
51,Central Florida,31,23,8,.742,12.58,4.74,13,5,15,2,5,5,2236,1993,,67.2,107.0,.464,.361,.554,51.5,53.7,8.5,12.4,.527,15.4,29.3,.300
52,Central Michigan,34,23,11,.676,3.48,-0.20,10,8,13,4,7,5,2810,2590,,73.3,110.7,.420,.375,.554,49.8,46.7,10.2,7.5,.523,14.0,31.8,.283
53,Charleston Southern,32,17,15,.531,-2.18,-4.21,9,7,11,4,4,10,2439,2230,,71.9,105.3,.277,.443,.530,50.9,52.7,10.9,10.1,.507,15.3,31.3,.187
54,Charlotte,29,8,21,.276,-8.02,-0.57,5,13,5,9,3,9,1776,1992,,65.8,93.0,.364,.427,.525,48.3,48.2,7.2,11.1,.481,19.8,21.9,.270
55,Chattanooga,32,12,20,.375,-7.52,-0.42,7,11,8,6,4,11,2268,2376,,69.5,101.6,.243,.423,.540,48.6,50.3,6.2,6.4,.520,16.3,24.4,.166
56,Chicago State,32,3,29,.094,-24.38,1.12,0,16,3,8,0,19,1970,2710,,72.0,85.5,.333,.268,.486,44.5,51.9,8.4,6.4,.451,20.2,22.2,.225
57,Cincinnati,32,26,6,.813,14.33,4.70,14,4,16,2,7,4,2303,1995,,65.0,109.9,.380,.333,.531,53.8,55.0,9.7,14.6,.492,13.5,37.2,.269
58,Citadel,30,12,18,.400,-7.69,0.27,4,14,8,7,4,10,2553,2584,,76.7,110.0,.260,.535,.565,47.7,51.5,8.7,10.6,.539,14.6,27.0,.192
59,Clemson,32,19,13,.594,15.10,9.89,9,9,13,4,4,6,2209,2042,,67.4,102.5,.327,.360,.547,52.7,49.8,9.6,13.2,.512,17.5,27.7,.240
