,,Overall,,,,,,Conf.,,Home,,Away,,Points,,,,Opponent Totals,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
256,Rider,27,14,13,0.519,-4.66,-5.92,9,6,8,2,5,10,2049,2015,,1085,704,1537,0.458,238,668,0.356,369,553,0.667,251,973,408,166,99,462,572
257,Robert Morris,28,14,14,0.5,-9,-7.04,9,6,9,3,4,11,1950,1897,,1130,644,1460,0.441,177,527,0.336,432,593,0.728,244,933,316,177,81,444,522
258,Rutgers,26,12,14,0.462,9.06,9.87,5,11,9,6,3,8,1752,1773,,1050,634,1490,0.426,209,583,0.358,296,446,0.664,251,908,335,170,88,318,466
259,Sacramento State,24,12,12,0.5,-7.92,-6.11,6,9,7,4,3,8,1708,1648,,970,569,1295,0.439,170,485,0.351,340,469,0.725,207,816,308,153,90,370,468
260,Sacred Heart,28,12,16,0.429,-8.35,-7.17,8,7,8,2,3,12,2235,2225,,1125,791,1762,0.449,251,688,0.365,392,544,0.721,272,967,418,195,110,341,536
261,Saint Francis (PA),26,15,11,0.577,-7.99,-5.41,11,4,9,2,5,9,1997,1972,,1040,715,1555,0.46,208,598,0.348,334,465,0.718,253,903,368,143,111,335,460
262,Saint Joseph's,26,11,15,0.423,-0.87,2.02,4,9,9,4,1,9,1811,1886,,1040,673,1524,0.442,252,694,0.363,288,399,0.722,212,955,403,135,63,273,411
263,Saint Louis,26,17,9,0.654,4.28,1.13,8,5,13,2,4,5,1740,1658,,1040,580,1417,0.409,159,531,0.299,339,469,0.723,219,867,308,168,90,349,509
264,Saint Mary's (CA),28,18,10,0.643,11.83,3.3,9,4,13,2,3,5,2091,1852,,1125,677,1529,0.443,159,475,0.335,339,456,0.743,213,816,301,132,92,300,463
265,Saint Peter's,26,6,20,0.231,-13.25,-5.48,3,11,5,6,1,14,1605,1807,,1060,598,1367,0.437,212,553,0.383,399,544,0.733,238,838,335,196,88,331,447
266,Sam Houston State,27,18,9,0.667,-2.23,-5.23,13,1,11,1,6,8,1986,1825,,1095,607,1431,0.424,192,590,0.325,419,582,0.72,245,929,327,152,81,427,466
267,Samford,28,16,12,0.571,1.34,-2.33,6,9,11,4,5,7,2185,2077,,1150,734,1772,0.414,262,755,0.347,347,510,0.68,342,1031,402,189,74,381,519
268,San Diego State,26,17,9,0.654,5.53,1.53,9,4,13,2,3,5,1927,1774,,1040,613,1474,0.416,213,636,0.335,335,474,0.707,256,853,340,158,67,353,508
269,San Diego,28,17,11,0.607,6.57,3.54,6,7,11,3,4,7,2050,1920,,1135,683,1541,0.443,164,504,0.325,390,539,0.724,205,879,316,188,76,345,534
270,San Francisco,27,21,6,0.778,11.04,1.47,9,4,13,1,5,4,2062,1779,,1085,654,1548,0.422,158,514,0.307,313,438,0.715,252,918,289,126,105,328,467
271,San Jose State,25,3,22,0.12,-15.08,1.3,0,13,3,10,0,9,1621,1997,,1010,727,1538,0.473,270,734,0.368,273,410,0.666,229,887,410,207,70,286,485
272,Santa Clara,27,14,13,0.519,-2.12,1.15,6,7,10,6,3,5,1854,1911,,1095,677,1577,0.429,166,532,0.312,391,555,0.705,272,925,362,180,73,292,479
