"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2019,"Abilene Christian",52.168284789644,108,17.3719584085474,96,27.7056277056277,201,34.8867313915858,125
2019,"Air Force",51.2827988338192,143,19.295638430873,229,23.1660231660232,321,28.2798833819242,294
2019,"Akron",48.1917808219178,289,17.2745622682251,89,25.0650477016479,276,27.6712328767123,306
2019,"Alabama",50.2931769722815,194,19.4747457222788,243,31.3191489361702,82,38.4861407249467,43
2019,"Alabama A&M",45.7158651188502,338,22.5049315303468,333,27.8215223097113,197,25.0414593698176,333
2019,"Alabama St.",46.085626911315,332,20.9505237630941,314,31.5647482014388,77,37.3700305810398,61
2019,"Albany",49.2886781268524,240,20.8978652782687,311,27.3073263558516,212,32.4836988737404,201
2019,"Alcorn St.",45.6819739547635,339,24.0731495476026,348,30.0523560209424,107,30.5003427004798,252
2019,"American",53.1914893617021,70,18.6952099578631,190,26.1410788381743,244,35.8054711246201,96
2019,"Appalachian St.",51.4434180138568,139,17.7942799096275,127,25.8003766478343,255,37.0092378752887,70
2019,"Arizona",48.9790435249866,257,16.7321443712727,58,28.3712784588441,177,33.3154218162278,179
2019,"Arizona St.",50.8145034156595,168,18.5187160641328,179,32.4979114452799,50,43.562795585917,6
2019,"Arkansas",51.0306553911205,160,18.3424865938002,160,28.5217391304348,173,38.4778012684989,44
2019,"Arkansas Pine Bluff",48.3870967741936,281,22.0759722032651,328,29.1187739463602,145,42.4317617866005,11
2019,"Arkansas St.",47.1973094170404,312,19.3227695969756,233,33.6546888694128,31,37.8923766816144,51
2019,"Army",49.5749202975558,225,16.4885116859503,49,21.6216216216216,338,24.2826780021254,341
2019,"Auburn",54.1602067183463,42,18.0071222199825,138,33.0715532286213,42,31.5762273901809,225
2019,"Austin Peay",52.8608923884514,82,16.6124671864593,55,32.3241317898486,54,34.6981627296588,136
2019,"BYU",52.7689030883919,86,15.2595466195268,16,23.7668161434978,306,39.9361022364217,27
2019,"Ball St.",51.8102029621503,123,20.1902793921391,288,27.5161588180979,204,37.6302797586396,56
2019,"Baylor",50.8629989212513,167,19.8115797281748,264,38.2012466607302,2,32.5782092772384,198
2019,"Belmont",57.8190376569038,3,15.446851368571,18,25.5502392344498,265,28.0857740585774,300
2019,"Bethune Cookman",48.3438035408338,285,21.4787566031486,320,33.4507042253521,35,37.1216447744146,67
2019,"Binghamton",49.4733762434172,234,18.5495734929985,181,20.9302325581395,344,24.3417203042715,340
2019,"Boise St.",53.9013195639702,49,17.2724673369473,88,23.4580384226491,314,31.7842799770511,217
2019,"Boston College",48.5066371681416,275,17.5055720653789,103,28.5837651122625,170,35.0110619469027,119
2019,"Boston University",53.4035656401945,63,18.84927476266,201,28.5577841451767,171,24.7974068071313,336
2019,"Bowling Green",50.7767995857069,170,16.5016683672062,50,30.4128053917439,101,35.4220611082341,108
2019,"Bradley",49.6873223422399,220,18.9306259024133,209,27.1402550091075,216,36.3274587833997,83
2019,"Brown",50,211,20.1818571472308,287,24.6938775510204,285,36.8255959849435,73
2019,"Bryant",49.0184414039262,256,18.3987766258474,165,26.6106442577031,233,36.7638310529447,76
2019,"Bucknell",53.0342323651452,74,17.2789835892006,90,25.7575757575758,258,33.8692946058091,162
2019,"Buffalo",53.2464454976303,68,15.6247558631896,21,32.156862745098,59,32.1327014218009,208
2019,"Butler",51.9445924347363,119,16.1693625228825,31,25.7299270072993,260,25.1465103889185,331
2019,"Cal Baptist",51.5635179153094,132,17.7350922906918,123,28.7280701754386,164,32.1172638436482,211
2019,"Cal Poly",47.1927635683094,313,16.9887103777681,72,26.1208576998051,246,25.8265751715533,324
2019,"Cal St. Bakersfield",47.2514619883041,311,19.4592473926832,242,37.9734848484849,3,29.2982456140351,279
2019,"Cal St. Fullerton",49.4036970781157,237,19.0900783973646,216,24.4422890397672,293,38.5211687537269,42
2019,"Cal St. Northridge",51.7250126839168,126,16.8893628250906,67,28.2481139983236,182,32.0649416539827,213
2019,"California",48.5590778097983,273,16.4299964792865,46,23.2927970065482,317,34.7550432276657,134
2019,"Campbell",52.9855247285887,77,14.6928954475062,13,23.8383838383838,305,31.664656212304,222
2019,"Canisius",50.4907306434024,184,18.5870251736894,184,26.9955156950673,221,31.3522355507088,231
2019,"Central Arkansas",49.1040462427746,250,19.6849711483477,255,24.543795620438,289,34.1618497109827,153
2019,"Central Connecticut",46.9544648137197,318,19.7951516398154,260,29.6116504854369,124,34.0626848018924,155
2019,"Central Michigan",51.1192087454451,155,16.229481376452,35,31.3807531380753,81,40.2915148360229,26
2019,"Charleston",54.246885617214,39,15.5850252317803,19,25.5511022044088,264,33.4654586636467,172
2019,"Charleston Southern",50.0291205591147,209,17.9116526653044,134,29.2613636363636,137,27.4315666860804,310
2019,"Charlotte",48.0929264909847,290,22.012001781924,327,22.1734357848518,334,36.3384188626907,81
2019,"Chattanooga",51.491646778043,137,19.0940331146517,217,24.609375,288,24.2243436754177,343
2019,"Chicago St.",44.0740740740741,346,22.5367950662692,334,22.1797323135755,333,32.962962962963,189
2019,"Cincinnati",49.1571506253399,245,16.2227285197953,34,37.2477064220183,5,37.9554105492115,50
2019,"Clemson",51.1727688787185,149,19.803816988614,263,27.5529865125241,203,32.7231121281465,195
2019,"Cleveland St.",51.521357519017,135,18.4804065689445,171,26.3157894736842,240,31.6559391456992,223
2019,"Coastal Carolina",51.3022410660206,142,20.2120569524387,290,32.1285140562249,60,41.2477286493035,16
